S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
11,2017-18,Las Palmas,0–4,1–0,1–5,1–1,2–5,1–3,1–2,2–2,0–1,1–2,,0–2,0–2,1–0,1–0,0–3,0–1,1–2,2–1,0–2,19,38,5,7,26
12,2017-18,Leganés,1–0,1–0,0–0,0–3,1–0,0–0,0–1,3–2,1–2,0–0,0–0,,0–3,2–0,3–2,1–3,1–0,2–1,0–1,3–1,17,38,12,7,19
13,2017-18,Levante,0–2,1–2,0–5,5–4,0–1,2–2,2–1,1–1,1–1,1–2,2–1,0–0,,1–0,0–2,2–2,3–0,2–1,1–1,1–0,15,38,11,13,14
14,2017-18,Málaga,0–3,3–3,0–1,0–2,2–1,3–2,0–1,0–1,0–1,0–0,1–3,0–2,0–0,,0–2,1–2,2–0,0–1,1–2,1–0,20,38,5,5,28
15,2017-18,Real Betis,2–0,0–2,0–1,0–5,2–1,2–1,2–0,3–0,2–2,2–2,1–0,3–2,4–0,2–1,,3–5,0–0,2–2,3–6,2–1,6,38,18,6,14
16,2017-18,Real Madrid,4–0,1–1,1–1,0–3,6–0,7–1,3–0,2–0,3–1,6–3,3–0,2–1,1–1,3–2,0–1,,5–2,5–0,2–2,0–1,3,38,22,10,6
17,2017-18,Real Sociedad,2–1,3–1,3–0,2–4,1–2,5–0,3–1,1–1,1–2,5–0,2–2,3–2,3–0,0–2,4–4,1–3,,3–1,2–3,3–0,12,38,14,7,17
18,2017-18,Sevilla,1–0,2–0,2–5,2–2,2–1,2–0,3–0,1–1,1–1,1–0,1–0,2–1,0–0,2–0,3–5,3–2,1–0,,0–2,2–2,7,38,17,7,14
19,2017-18,Valencia,3–1,3–2,0–0,1–1,2–1,2–1,0–0,1–0,1–2,2–1,1–0,3–0,3–1,5–0,2–0,1–4,2–1,4–0,,0–1,4,38,22,7,9
20,2017-18,Villarreal,1–2,1–3,2–1,0–2,4–1,1–1,3–0,0–0,1–0,0–2,4–0,2–1,2–1,2–0,3–1,2–2,4–2,2–3,1–0,,5,38,18,7,13
1,2016-17,Alavés,,1–0,0–0,0–6,3–1,0–0,0–0,0–1,3–1,1–1,2–2,1–1,0–1,1–0,1–4,1–0,1–1,0–0,2–1,2–1,9,38,14,13,11
2,2016-17,Athletic Bilbao,0–0,,2–2,0–1,2–1,2–1,3–1,2–0,3–1,5–1,1–1,1–0,1–1,2–1,1–2,3–2,3–1,2–1,2–1,1–0,7,38,19,6,13
3,2016-17,Atlético Madrid,1–1,3–1,,1–2,3–2,1–0,1–0,0–0,7–1,1–0,2–0,4–2,3–0,1–0,0–3,1–0,3–1,5–0,3–0,0–1,3,38,23,9,6
4,2016-17,Barcelona,1–2,3–0,1–1,,5–0,4–0,4–2,4–1,1–0,5–0,2–1,0–0,7–1,6–2,1–1,3–2,3–0,6–1,4–2,4–1,2,38,28,6,4
5,2016-17,Celta Vigo,1–0,0–3,0–4,4–3,,4–1,0–2,2–2,3–1,3–1,0–1,3–1,3–0,0–1,1–4,2–2,0–3,2–1,2–1,0–1,13,38,13,6,19
6,2016-17,Deportivo La Coruña,0–1,0–1,1–1,2–1,0–1,,2–1,1–2,0–0,3–0,1–2,2–0,2–0,1–1,2–6,5–1,2–3,2–1,1–1,0–0,16,38,8,12,18
7,2016-17,Eibar,0–0,0–1,0–2,0–4,1–0,3–1,,1–1,4–0,3–1,2–0,3–0,2–3,3–1,1–4,2–0,1–1,0–1,1–0,2–1,10,38,15,9,14
8,2016-17,Espanyol,1–0,0–0,0–1,0–3,0–2,1–1,3–3,,3–1,4–3,3–0,2–2,3–0,2–1,0–2,1–2,3–1,2–1,0–1,0–0,8,38,15,11,12
9,2016-17,Granada,2–1,1–2,0–1,1–4,0–3,1–1,1–2,1–2,,1–0,0–1,0–2,1–1,4–1,0–4,0–2,2–1,0–0,1–3,1–1,20,38,4,8,26
